model,fold,epoch_at_best_balanced_acc,overall_accuracy,mean_overall_accuracy,std_overall_accuracy,count_folds
Baseline,1,27,0.7926330150068213,,,
Baseline,2,6,0.7667121418826739,,,
Baseline,3,29,0.8278688524590164,,,
Baseline,4,19,0.7745901639344263,,,
Baseline,5,7,0.7882513661202186,,,
Baseline,ALL,,0.7900111078806313,0.7900111078806313,0.023578736402582772,5
CBAM,1,12,0.7885402455661664,,,
CBAM,2,7,0.7994542974079127,,,
CBAM,3,18,0.8005464480874317,,,
CBAM,4,22,0.8060109289617486,,,
CBAM,5,4,0.7390710382513661,,,
CBAM,ALL,,0.7867245916549251,0.7867245916549251,0.02738252034429217,5
LSTL,1,16,0.8076398362892222,,,
LSTL,2,16,0.7858117326057299,,,
LSTL,3,32,0.808743169398907,,,
LSTL,4,9,0.8046448087431692,,,
LSTL,5,14,0.7937158469945356,,,
LSTL,ALL,,0.8001110788063128,0.8001110788063128,0.009963937174456417,5
